     tides     mass         prob
  3.510050 0.803015 0.000000e+00
  3.510050 0.809045 0.000000e+00
  3.510050 0.815075 0.000000e+00
  3.510050 0.821106 0.000000e+00
  3.510050 0.827136 0.000000e+00
  3.510050 0.833166 0.000000e+00
  3.510050 0.839196 0.000000e+00
  3.510050 0.845226 0.000000e+00
  3.510050 0.851256 0.000000e+00
  3.510050 0.857286 0.000000e+00
  3.510050 0.863317 0.000000e+00
  3.510050 0.869347 0.000000e+00
  3.510050 0.875377 0.000000e+00
  3.510050 0.881407 0.000000e+00
  3.510050 0.887437 0.000000e+00
  3.510050 0.893467 0.000000e+00
  3.510050 0.899497 0.000000e+00
  3.510050 0.905528 0.000000e+00
  3.510050 0.911558 0.000000e+00
  3.510050 0.917588 0.000000e+00
  3.510050 0.923618 0.000000e+00
  3.510050 0.929648 0.000000e+00
  3.510050 0.935678 0.000000e+00
  3.510050 0.941709 0.000000e+00
  3.510050 0.947739 0.000000e+00
  3.510050 0.953769 0.000000e+00
  3.510050 0.959799 0.000000e+00
  3.510050 0.965829 0.000000e+00
  3.510050 0.971859 0.000000e+00
  3.510050 0.977889 0.000000e+00
  3.510050 0.983920 0.000000e+00
  3.510050 0.989950 0.000000e+00
  3.510050 0.995980 0.000000e+00
  3.510050 1.002010 3.541828e-09
  3.510050 1.008040 0.000000e+00
  3.510050 1.014070 0.000000e+00
  3.510050 1.020101 7.083655e-09
  3.510050 1.026131 3.541828e-09
  3.510050 1.032161 0.000000e+00
  3.510050 1.038191 0.000000e+00
  3.510050 1.044221 0.000000e+00
  3.510050 1.050251 3.541828e-09
  3.510050 1.056281 0.000000e+00
  3.510050 1.062312 0.000000e+00
  3.510050 1.068342 3.541828e-09
  3.510050 1.074372 3.541828e-09
  3.510050 1.080402 7.083655e-09
  3.510050 1.086432 0.000000e+00
  3.510050 1.092462 0.000000e+00
  3.510050 1.098492 0.000000e+00
  3.510050 1.104523 0.000000e+00
  3.510050 1.110553 0.000000e+00
  3.510050 1.116583 0.000000e+00
  3.510050 1.122613 0.000000e+00
  3.510050 1.128643 7.083655e-09
  3.510050 1.134673 3.541828e-09
  3.510050 1.140704 0.000000e+00
  3.510050 1.146734 0.000000e+00
  3.510050 1.152764 3.541828e-09
  3.510050 1.158794 7.083655e-09
  3.510050 1.164824 0.000000e+00
  3.510050 1.170854 0.000000e+00
  3.510050 1.176884 3.541828e-09
  3.510050 1.182915 0.000000e+00
  3.510050 1.188945 3.541828e-09
  3.510050 1.194975 3.541828e-09
  3.510050 1.201005 0.000000e+00
  3.510050 1.207035 0.000000e+00
  3.510050 1.213065 3.541828e-09
  3.510050 1.219095 3.541828e-09
  3.510050 1.225126 3.541828e-09
  3.510050 1.231156 3.541828e-09
  3.510050 1.237186 3.541828e-09
  3.510050 1.243216 0.000000e+00
  3.510050 1.249246 3.541828e-09
