     tides     mass         prob
  3.510050 0.805528 0.000000e+00
  3.510050 0.816583 0.000000e+00
  3.510050 0.827638 0.000000e+00
  3.510050 0.838693 0.000000e+00
  3.510050 0.849749 0.000000e+00
  3.510050 0.860804 0.000000e+00
  3.510050 0.871859 0.000000e+00
  3.510050 0.882915 0.000000e+00
  3.510050 0.893970 0.000000e+00
  3.510050 0.905025 0.000000e+00
  3.510050 0.916080 0.000000e+00
  3.510050 0.927136 0.000000e+00
  3.510050 0.938191 0.000000e+00
  3.510050 0.949246 0.000000e+00
  3.510050 0.960302 0.000000e+00
  3.510050 0.971357 0.000000e+00
  3.510050 0.982412 0.000000e+00
  3.510050 0.993467 0.000000e+00
  3.510050 1.004523 0.000000e+00
  3.510050 1.015578 0.000000e+00
  3.510050 1.026633 0.000000e+00
  3.510050 1.037688 0.000000e+00
  3.510050 1.048744 0.000000e+00
  3.510050 1.059799 0.000000e+00
  3.510050 1.070854 0.000000e+00
  3.510050 1.081910 0.000000e+00
  3.510050 1.092965 0.000000e+00
  3.510050 1.104020 0.000000e+00
  3.510050 1.115075 0.000000e+00
  3.510050 1.126131 0.000000e+00
  3.510050 1.137186 0.000000e+00
  3.510050 1.148241 0.000000e+00
  3.510050 1.159296 0.000000e+00
  3.510050 1.170352 0.000000e+00
  3.510050 1.181407 0.000000e+00
  3.510050 1.192462 0.000000e+00
  3.510050 1.203518 0.000000e+00
  3.510050 1.214573 0.000000e+00
  3.510050 1.225628 0.000000e+00
  3.510050 1.236683 0.000000e+00
  3.510050 1.247739 0.000000e+00
  3.510050 1.258794 0.000000e+00
  3.510050 1.269849 0.000000e+00
  3.510050 1.280905 0.000000e+00
  3.510050 1.291960 0.000000e+00
  3.510050 1.303015 0.000000e+00
  3.510050 1.314070 0.000000e+00
  3.510050 1.325126 0.000000e+00
  3.510050 1.336181 0.000000e+00
  3.510050 1.347236 0.000000e+00
  3.510050 1.358291 0.000000e+00
  3.510050 1.369347 0.000000e+00
  3.510050 1.380402 0.000000e+00
  3.510050 1.391457 0.000000e+00
  3.510050 1.402513 0.000000e+00
  3.510050 1.413568 0.000000e+00
  3.510050 1.424623 0.000000e+00
  3.510050 1.435678 0.000000e+00
  3.510050 1.446734 0.000000e+00
  3.510050 1.457789 0.000000e+00
  3.510050 1.468844 0.000000e+00
  3.510050 1.479899 0.000000e+00
  3.510050 1.490955 0.000000e+00
  3.510050 1.502010 0.000000e+00
  3.510050 1.513065 0.000000e+00
  3.510050 1.524121 0.000000e+00
  3.510050 1.535176 0.000000e+00
  3.510050 1.546231 0.000000e+00
  3.510050 1.557286 0.000000e+00
  3.510050 1.568342 0.000000e+00
  3.510050 1.579397 0.000000e+00
  3.510050 1.590452 0.000000e+00
  3.510050 1.601508 2.289214e-07
  3.510050 1.612563 4.578429e-07
  3.510050 1.623618 2.289214e-07
  3.510050 1.634673 6.867643e-07
  3.510050 1.645729 6.867643e-07
  3.510050 1.656784 1.373529e-06
  3.510050 1.667839 2.289214e-06
  3.510050 1.678894 1.602450e-06
  3.510050 1.689950 2.289214e-06
  3.510050 1.701005 4.578429e-06
  3.510050 1.712060 8.927936e-06
  3.510050 1.723116 7.783329e-06
  3.510050 1.734171 1.190391e-05
  3.510050 1.745226 1.327744e-05
  3.510050 1.756281 1.602450e-05
  3.510050 1.767337 2.472351e-05
  3.510050 1.778392 3.113331e-05
  3.510050 1.789447 3.845880e-05
  3.510050 1.800503 4.876026e-05
  3.510050 1.811558 5.951957e-05
  3.510050 1.822613 7.004996e-05
  3.510050 1.833668 9.477347e-05
  3.510050 1.844724 1.087377e-04
  3.510050 1.855779 1.382685e-04
  3.510050 1.866834 1.522328e-04
  3.510050 1.877889 1.991616e-04
  3.510050 1.888945 2.282347e-04
  3.510050 1.900000 2.705851e-04
  3.510050 1.911055 3.092729e-04
  3.510050 1.922111 3.559728e-04
  3.510050 1.933166 4.102272e-04
  3.510050 1.944221 4.617345e-04
  3.510050 1.955276 5.546766e-04
  3.510050 1.966332 6.157986e-04
  3.510050 1.977387 7.053069e-04
  3.510050 1.988442 7.673446e-04
  3.510050 1.999497 8.504431e-04
  3.510050 2.010553 9.459033e-04
  3.510050 2.021608 1.072726e-03
  3.510050 2.032663 1.157427e-03
  3.510050 2.043719 1.259755e-03
  3.510050 2.054774 1.366432e-03
  3.510050 2.065829 1.469676e-03
  3.510050 2.076884 1.587799e-03
  3.510050 2.087940 1.772539e-03
  3.510050 2.098995 1.835034e-03
  3.510050 2.110050 1.932555e-03
  3.510050 2.121106 2.077920e-03
  3.510050 2.132161 2.193067e-03
  3.510050 2.143216 2.298600e-03
  3.510050 2.154271 2.436411e-03
  3.510050 2.165327 2.570330e-03
  3.510050 2.176382 2.714550e-03
  3.510050 2.187437 2.813673e-03
  3.510050 2.198492 2.868157e-03
  3.510050 2.209548 3.014208e-03
  3.510050 2.220603 3.107608e-03
  3.510050 2.231658 3.188647e-03
  3.510050 2.242714 3.304023e-03
  3.510050 2.253769 3.316614e-03
  3.510050 2.264824 3.470220e-03
  3.510050 2.275879 3.449617e-03
  3.510050 2.286935 3.556523e-03
  3.510050 2.297990 3.669611e-03
  3.510050 2.309045 3.703033e-03
  3.510050 2.320101 3.744926e-03
  3.510050 2.331156 3.751107e-03
  3.510050 2.342211 3.780408e-03
  3.510050 2.353266 3.781782e-03
  3.510050 2.364322 3.865109e-03
  3.510050 2.375377 3.822759e-03
  3.510050 2.386432 3.877242e-03
  3.510050 2.397487 3.850916e-03
  3.510050 2.408543 3.887544e-03
  3.510050 2.419598 3.866712e-03
  3.510050 2.430653 3.841759e-03
